판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,판례상세링크
200325,전부금,94다2374,1994.03.25,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200325&type=HTML&mobileYn=
199822,토지초과이득세부과처분취소,92누19644,1994.03.25,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=199822&type=HTML&mobileYn=
110017,거절사정,93후1704,1994.03.25,대법원,특허,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110017&type=HTML&mobileYn=
200332,거절사정,93후1711,1994.03.25,대법원,특허,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200332&type=HTML&mobileYn=
200331,제3자이의,93다42757,1994.03.25,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200331&type=HTML&mobileYn=
110009,손해배상(자),93다43644,1994.03.25,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110009&type=HTML&mobileYn=
200324,토지초과이득세부과처분취소,93누14370,1994.03.25,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200324&type=HTML&mobileYn=
110050,근로기준법위반,93도2903,1994.03.25,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110050&type=HTML&mobileYn=
200328,손해배상(기),93다32828,1994.03.25,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200328&type=HTML&mobileYn=
200322,토지초과이득세부과처분취소,93누2988,1994.03.25,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200322&type=HTML&mobileYn=
145919,유료직업소개업영업정지처분취소청구사건,93구20902,1994.03.24,서울고등법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=145919&type=HTML&mobileYn=
223013,손해배상(기)청구사건,93가합1226,1994.03.24,창원지방법원충무지원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=223013&type=HTML&mobileYn=
223097,사기미수피고사건,93노3308,1994.03.23,서울형사지방법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=223097&type=HTML&mobileYn=
110020,개발부담금부과처분취소,93누6256,1994.03.22,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110020&type=HTML&mobileYn=
110045,특정경제범죄가중처벌등에관한법률위반(수재),93도2962,1994.03.22,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110045&type=HTML&mobileYn=
200353,부가가치세부과처분취소,93누22517,1994.03.22,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200353&type=HTML&mobileYn=
200344,권리범위확인,93후1117,1994.03.22,대법원,특허,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200344&type=HTML&mobileYn=
200336,묘지분양권확인,93다60625,1994.03.22,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200336&type=HTML&mobileYn=
200351,증여세부과처분취소,93누19535,1994.03.22,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200351&type=HTML&mobileYn=
